CoRoT,Year,Month,Day,FileName_a,FileName_b,FileName_c
102727098,2007,2,3,130553,20070402,70158
102727374,2007,2,3,130553,20070402,70158
102727431,2007,2,3,130553,20070402,70158
102727798,2007,2,3,130553,20070402,70158
102727800,2007,2,3,130553,20070402,70158
102728015,2007,2,3,130553,20070402,70158
102728158,2007,2,3,130553,20070402,70158
102728240,2007,2,3,130553,20070402,70126
102728281,2007,2,3,130553,20070402,70158
102728318,2007,2,3,130553,20070402,70158
102728369,2007,2,3,130553,20070402,70126
102728587,2007,2,3,130553,20070402,70126
102728809,2007,2,3,130553,20070402,70158
102728852,2007,2,3,130553,20070402,70126
102728962,2007,2,3,130553,20070402,70158
102729083,2007,2,3,130553,20070402,70158
102729260,2007,2,3,130553,20070402,70158
102729262,2007,2,3,130553,20070402,70158
102729282,2007,2,3,130553,20070402,70158
102729368,2007,2,3,130553,20070402,70158
102729487,2007,2,3,130553,20070402,70126
102729531,2007,2,3,130553,20070402,70126
102729660,2007,2,3,130553,20070402,70158
102729965,2007,2,3,130553,20070402,70158
102729983,2007,2,3,130553,20070402,70158
102730011,2007,2,3,130553,20070402,70126
102730313,2007,2,3,130553,20070402,70158
102730409,2007,2,3,130553,20070402,70126
102730573,2007,2,3,130553,20070402,70126
102730673,2007,2,3,130553,20070402,70158
102730749,2007,2,3,130553,20070402,70126
102730985,2007,2,3,130553,20070402,70126
102731040,2007,2,3,130553,20070402,70158
102731107,2007,2,3,130553,20070402,70126
102731148,2007,2,3,130553,20070402,70126
102731437,2007,2,3,130553,20070402,70158
102731725,2007,2,3,130553,20070402,70158
102731791,2007,2,3,130553,20070402,70126
102731845,2007,2,3,130553,20070402,70158
102732020,2007,2,3,130553,20070402,70158
102732139,2007,2,3,130553,20070402,70158
102732211,2007,2,3,130553,20070402,70158
102732289,2007,2,3,130553,20070402,70126
102732363,2007,2,3,130553,20070402,70126
102732387,2007,2,3,130553,20070402,70126
102732523,2007,2,3,130553,20070402,70158
102732647,2007,2,3,130553,20070402,70158
102732855,2007,2,3,130553,20070402,70126
102732890,2007,2,3,130553,20070402,70158
102732990,2007,2,3,130553,20070402,70158
102732991,2007,2,3,130553,20070402,70158
102733170,2007,2,3,130553,20070402,70158
102733350,2007,2,3,130553,20070402,70158
102733425,2007,2,3,130553,20070402,70126
102733615,2007,2,3,130553,20070402,70158
102733699,2007,2,3,130553,20070402,70126
102734203,2007,2,3,130553,20070402,70158
102734557,2007,2,3,130553,20070402,70158
102734591,2007,2,3,130553,20070402,70158
102734646,2007,2,3,130553,20070402,70126
102734650,2007,2,3,130553,20070402,70158
102734850,2007,2,3,130553,20070402,70126
102735209,2007,2,3,130553,20070402,70158
102735376,2007,2,3,130553,20070402,70126
102735732,2007,2,3,130553,20070402,70158
102735876,2007,2,3,130553,20070402,70158
102735881,2007,2,3,130553,20070402,70158
102735992,2007,2,3,130553,20070402,70126
102736212,2007,2,3,130553,20070402,70126
102736511,2007,2,3,130553,20070402,70126
102736607,2007,2,3,130553,20070402,70158
102736691,2007,2,3,130553,20070402,70158
102736762,2007,2,3,130553,20070402,70158
102736877,2007,2,3,130553,20070402,70158
102737010,2007,2,3,130553,20070402,70126
102737492,2007,2,3,130553,20070402,70126
102737532,2007,2,3,130553,20070402,70158
102737586,2007,2,3,130553,20070402,70126
102737767,2007,2,3,130553,20070402,70126
102737816,2007,2,3,130553,20070402,70126
102738250,2007,2,3,130553,20070402,70158
102738406,2007,2,3,130553,20070402,70158
102738456,2007,2,3,130553,20070402,70126
102738457,2007,2,3,130553,20070402,70126
102738540,2007,2,3,130553,20070402,70158
102738614,2007,2,3,130553,20070402,70126
102738619,2007,2,3,130553,20070402,70126
102738675,2007,2,3,130553,20070402,70158
102738820,2007,2,3,130553,20070402,70126
102738897,2007,2,3,130553,20070402,70158
102738984,2007,2,3,130553,20070402,70126
102739037,2007,2,3,130553,20070402,70158
102739087,2007,2,3,130553,20070402,70158
102739246,2007,2,3,130553,20070402,70126
102739297,2007,2,3,130553,20070402,70158
102739575,2007,2,3,130553,20070402,70158
102739590,2007,2,3,130553,20070402,70158
102739603,2007,2,3,130553,20070402,70158
102739797,2007,2,3,130553,20070402,70126
102739907,2007,2,3,130553,20070402,70126
102739932,2007,2,3,130553,20070402,70158
102740052,2007,2,3,130553,20070402,70126
102740084,2007,2,3,130553,20070402,70158
102740261,2007,2,3,130553,20070402,70126
102740482,2007,2,3,130553,20070402,70158
102740520,2007,2,3,130553,20070402,70126
102740663,2007,2,3,130553,20070402,70158
102740721,2007,2,3,130553,20070402,70158
102740836,2007,2,3,130553,20070402,70158
102740879,2007,2,3,130553,20070402,70158
102741472,2007,2,3,130553,20070402,70126
102741636,2007,2,3,130553,20070402,70158
102741765,2007,2,3,130553,20070402,70158
102741815,2007,2,3,130553,20070402,70158
102741816,2007,2,3,130553,20070402,70158
102741974,2007,2,3,130553,20070402,70158
102741994,2007,2,3,130553,20070402,70126
102742047,2007,2,3,130553,20070402,70158
102742090,2007,2,3,130553,20070402,70158
102742834,2007,2,3,130553,20070402,70158
102742901,2007,2,3,130553,20070402,70158
102743001,2007,2,3,130553,20070402,70158
102743015,2007,2,3,130553,20070402,70158
102743194,2007,2,3,130553,20070402,70158
102743366,2007,2,3,130553,20070402,70158
102743647,2007,2,3,130553,20070402,70158
102743692,2007,2,3,130553,20070402,70158
102743727,2007,2,3,130553,20070402,70126
102743851,2007,2,3,130553,20070402,70158
102743935,2007,2,3,130553,20070402,70158
102743990,2007,2,3,130553,20070402,70158
102744034,2007,2,3,130553,20070402,70126
102744315,2007,2,3,130553,20070402,70158
102744320,2007,2,3,130553,20070402,70126
102744577,2007,2,3,130553,20070402,70158
102744585,2007,2,3,130553,20070402,70158
102744621,2007,2,3,130553,20070402,70126
102744706,2007,2,3,130553,20070402,70158
102744749,2007,2,3,130553,20070402,70126
102744947,2007,2,3,130553,20070402,70126
102745049,2007,2,3,130553,20070402,70158
102745305,2007,2,3,130553,20070402,70158
102745338,2007,2,3,130553,20070402,70158
102745414,2007,2,3,130553,20070402,70158
102745466,2007,2,3,130553,20070402,70158
102745499,2007,2,3,130553,20070402,70126
102745726,2007,2,3,130553,20070402,70158
102745765,2007,2,3,130553,20070402,70126
102745790,2007,2,3,130553,20070402,70126
102745803,2007,2,3,130553,20070402,70158
102746196,2007,2,3,130553,20070402,70158
102746807,2007,2,3,130553,20070402,70158
102746909,2007,2,3,130553,20070402,70158
102747052,2007,2,3,130553,20070402,70158
102747143,2007,2,3,130553,20070402,70158
102747222,2007,2,3,130553,20070402,70126
102747713,2007,2,3,130553,20070402,70158
102747763,2007,2,3,130553,20070402,70158
102747774,2007,2,3,130553,20070402,70158
102747816,2007,2,3,130553,20070402,70126
102747825,2007,2,3,130553,20070402,70158
102747912,2007,2,3,130553,20070402,70158
102748042,2007,2,3,130553,20070402,70158
102748123,2007,2,3,130553,20070402,70126
102748124,2007,2,3,130553,20070402,70158
102748150,2007,2,3,130553,20070402,70158
102748190,2007,2,3,130553,20070402,70158
102748356,2007,2,3,130553,20070402,70126
102748392,2007,2,3,130553,20070402,70158
102748552,2007,2,3,130553,20070402,70158
102748741,2007,2,3,130553,20070402,70158
102748927,2007,2,3,130553,20070402,70158
102748934,2007,2,3,130553,20070402,70158
102749164,2007,2,3,130553,20070402,70126
102749726,2007,2,3,130553,20070402,70158
102749853,2007,2,3,130553,20070402,70126
102749861,2007,2,3,130553,20070402,70126
102749931,2007,2,3,130553,20070402,70126
102749985,2007,2,3,130553,20070402,70158
102750060,2007,2,3,130553,20070402,70158
102750062,2007,2,3,130553,20070402,70158
102750365,2007,2,3,130553,20070402,70158
102750373,2007,2,3,130553,20070402,70126
102750601,2007,2,3,130553,20070402,70158
102750624,2007,2,3,130553,20070402,70158
102750695,2007,2,3,130553,20070402,70158
102750826,2007,2,3,130553,20070402,70126
102750961,2007,2,3,130553,20070402,70126
102751143,2007,2,3,130553,20070402,70158
102751232,2007,2,3,130553,20070402,70158
102751275,2007,2,3,130553,20070402,70158
102751310,2007,2,3,130553,20070402,70126
102751782,2007,2,3,130553,20070402,70158
102751852,2007,2,3,130553,20070402,70126
102751858,2007,2,3,130553,20070402,70158
102751995,2007,2,3,130553,20070402,70126
102752140,2007,2,3,130553,20070402,70158
102752169,2007,2,3,130553,20070402,70126
102752188,2007,2,3,130553,20070402,70126
102752241,2007,2,3,130553,20070402,70158
102752249,2007,2,3,130553,20070402,70158
102752468,2007,2,3,130553,20070402,70158
102752622,2007,2,3,130553,20070402,70158
102752810,2007,2,3,130553,20070402,70158
102752912,2007,2,3,130553,20070402,70158
102753195,2007,2,3,130553,20070402,70158
